Product Ref,"Total 
Weight","Service
Fee","Purchase
Cost",Food Bank Cost/Value,Product Name,Product Type,Product Category,,
Service Fee,Free,,,,,,,,
Tap-In 113700,,,,,,,,,
D-100050T,"TEFAP Milk 1% UHT Shelf Stable, Sossner",07 - Dairy,30 TEFAP Dry,945,$0.00,$0.00,$369.25,,
D-10013,Kids Box Milk UHT 1%,07 - Dairy,48 Kids Boxes,422,$0.00,$0.00,$382.80,,
D-32001,"Milk, Shelf-Stable, 8 oz",07 - Dairy,25 Purchased,294,$0.00,$0.00,$220.08,,
FFV-CORN,"Corn, Fresh",28 - Produce,25 Purchased,72,$0.00,$0.00,$59.00,,
FFV-DIKON,Daikon Radish,28 - Produce,25 Purchased,80,$0.00,$0.00,$110.00,,
FFV-EGPLT,"Eggplant, Fresh",28 - Produce,25 Purchased,60,$0.00,$0.00,$51.50,,
FFV-GRAPFT,"Grapefruit, Pink",28 - Produce,25 Purchased,64,$0.00,$0.00,$68.00,,
FFV-HNYDW2,"Honeydew, Fresh",28 - Produce,25 Purchased,60,$0.00,$0.00,$45.38,,
FFV-KALE1,"Kale, Fresh",28 - Produce,25 Purchased,48,$0.00,$0.00,$36.00,,
FFV-PBLAN1,"Poblano Peppers, Fresh",28 - Produce,25 Purchased,36,$0.00,$0.00,$36.00,,
FFV-PINE2,"Pineapple, Fresh",28 - Produce,25 Purchased,56,$0.00,$0.00,$37.38,,
FV-00354,Hominy White,27 - Vegetables (Canned/Frozen),25 Purchased,52,$0.00,$0.00,$41.76,,
FV-06299,Kids Box Juice,14 - Juices,48 Kids Boxes,106,$0.00,$0.00,$119.68,,
FV-08224,"Peas, Low Sodium",27 - Vegetables (Canned/Frozen),25 Purchased,138,$0.00,$0.00,$108.84,,
FV-08226,FRZ Pepper & Onion Blend,27 - Vegetables (Canned/Frozen),27 Purchased Frozen,24,$0.00,$0.00,$32.60,,
FV-100210T,"TEFAP Apricot Halves, Mission",10 - Fruits (Canned/Frozen),30 TEFAP Dry,208,$0.00,$0.00,$289.12,,
FV-100241T,"TEFAP FRZ Peach Diced Cups, Freestone",10 - Fruits (Canned/Frozen),32 TEFAP Frozen,27,$0.00,$0.00,$42.78,,
FV-100298T,"TEFAP Cherries Dried, Cherry Centeral",10 - Fruits (Canned/Frozen),30 TEFAP Dry,32,$0.00,$0.00,$153.28,,
FV-100328T,"TEFAP Tomato Diced, Vine Ripe",27 - Vegetables (Canned/Frozen),30 TEFAP Dry,208,$0.00,$0.00,$146.56,,
FV-100335T,"TEFAP Spaghetti Sauce Meatless, Chef Johns",27 - Vegetables (Canned/Frozen),30 TEFAP Dry,416,$0.00,$0.00,$319.68,,
FV-100346T,TEFAP FRZ Asparagus,27 - Vegetables (Canned/Frozen),32 TEFAP Frozen,60,$0.00,$0.00,$154.98,,
